Copies,Attack,Defence,Faction,Name,Traits,Action,Tags,Designer,CardNumber
2,2,0,Elementalists,Energy Ball,{action:Action}<br> Attacks this turn.<br><br>Also does 1 damage to a different Lane when it attacks.,Action,,Brendan Head,14-10
1,1,3,Elementalists,Elemental Fusion,"When attuning, you may choose to attune to the same element as you did the previous turn.",,,Brendan Head,14-11
1,1,2,Elementalists,Water Fountain,"When you heal damage counters from a unit in this Lane, this gains a +1/+1 counter.",,,Brendan Head,14-12
1,0,2,Elementalists,Fire Aspect,"When you deal Attack damage in this Lane, increase the damage by 1.",,,Brendan Head,14-13
6,0,2,Gargantua,Spawn of Gargantua,,,Starting,Brendan Head,15-1
2,0,0,Gargantua,Claws,{attacksFirst:Attacks First.}<br> <strong>On Recruit:</strong> Gains two +1/+1 counters.,,Arms,Brendan Head,15-2
2,0,1,Gargantua,Tentacles,<strong>Start of Combat:</strong> May pull one friendly unit into its Lane.<br><br><strong>On Recruit:</strong> Gain two +1/+1 counters.,,Arms,Brendan Head,15-3
2,0,1,Gargantua,Thick Armoured Legs,<strong>On Recruit:</strong> Gains three +1/+1 counters.,,Legs,Brendan Head,15-4
2,0,0,Gargantua,Webbed Toes,{attacksLast:Attacks Last.}<br> Attacks all Lanes.<br><strong>On Recruit:</strong> Gains two +1/+1 counters.,,Legs,Brendan Head,15-5
2,0,0,Gargantua,Wings,{attacksFirst:Attacks First.}<br> <strong>On Recruit:</strong> Gains two +1/+1 counters.,,Back,Brendan Head,15-6
1,1,0,Gargantua,Immortal Mind,{action:Action}<br> All other units in this Lane gain +1/+1 counters and this Lane attacks this turn. ,Action,,Brendan Head,15-7
2,1,1,Gargantua,Poison Beak,"<strong>On Recruit:</strong> Gains a +1/+1 counter.<br><strong>End of Turn:</strong> If this attacked this turn, all enemy units with damage tokens in this Lane take an additional damage.",,Head,Brendan Head,15-8
2,1,2,Gargantua,Rodent Head,Attacks any Lane except its own.<br><strong>On Recruit:</strong> Gains a +1/+1 counter.,,Head,Brendan Head,15-9
1,1,2,Gargantua,Spawn Spawn,<strong>On Recruit:</strong> Place a Spawn of Gargantua unit with a +1/+1 counter in a different Lane.,,,Brendan Head,15-10
2,2,1,Gargantua,Back Pelt,{attacksLast:Attacks Last.}<br> <strong>On Recruit:</strong> Gains a +1/+1 counter.,,Back,Brendan Head,15-11
6,0,1,Ghosts,Ghost Sprite,,,Starting,Brendan Head,16-1
2,0,2,Ghosts,Banshee,"{attacksLast:Attacks Last.}<br> While this has a +1/+1 counter on it, it attacks all Lanes.<br><strong>End of Turn:</strong> Put a +1/+1 counter on this.",,,Brendan Head,16-2
2,0,0,Ghosts,Poltergeist,"<strong>On Recruit:</strong> Gains three +1/+1 counters.<br><strong>End of Turn:</strong> You may move any other friendly unit to a different Lane. If you do, it gains a +1/+1 counter.",,,Brendan Head,16-3
2,0,1,Ghosts,Trickster Phantom,"<strong>On Recruit:</strong> Opponent draws a card, then place a random card from their hand into this Lane on your side.",,,Brendan Head,16-4
2,1,1,Ghosts,Haunting Spectre,<strong>On Recruit:</strong> Chose an enemy unit that would attack this turn. It will not attack this turn.,,,Brendan Head,16-5
1,1,4,Ghosts,Spirit Barrier,,,,Brendan Head,16-6
2,1,2,Ghosts,Spiteful Djinn,<strong>On Recruit:</strong> Attacks this turn. This unit always attacks every turn.,,,Brendan Head,16-7
2,2,2,Ghosts,Genie,<strong>End of Turn:</strong> Place a Ghost Sprite unit in a different Lane,,,Brendan Head,16-8
2,2,2,Ghosts,Hellfire Minion,{attacksFirst:Attacks First.}<br>,,,Brendan Head,16-9
2,2,3,Ghosts,Revenant,"<strong>End of Turn:</strong> For every unit that died in this Lane (including this), place a +1/+1 counter on any other unit in any Lane.",,,Brendan Head,16-10
1,4,4,Ghosts,"Pluto, God of the Underworld",,,,Brendan Head,16-11
6,0,2,Olympians,Loyal Follower,,,Starting,Brendan Head,17-1
1,6,0,Olympians,"Athena, Godess of Warfare",{action:Action}<br> Attacks this turn. This Lane takes no damage this turn.,Action,God,Brendan Head,17-2
1,3,0,Olympians,"Zeus, God of Thunder",{action:Action}<br> Attacks this turn. Attacks every Lane. This Lane takes no damage this turn.,Action,God,Brendan Head,17-3
1,3,0,Olympians,"Poseidon, God of the Seas",{action:Action}<br> Attacks this turn. {attacksFirst:{attacksFirst:Attacks First.}<br>}<br> Place a Loyal Follower in any Lane and Gain 4 HP. This Lane takes no damage this turn.,Action,God,Brendan Head,17-4
2,1,2,Olympians,Priest of Olympus,<strong><strong>End of Turn:</strong></strong> Place a Loyal Follower in any Lane.,,,Brendan Head,17-5
1,1,3,Olympians,Medusa,<strong><strong>On Recruit:</strong></strong> Attacks this turn. Opponent must discard one of their non-starting units of their choice from any Lane and place one of their Basic Starting Units in that Lane instead.,,,Brendan Head,17-6
1,1,4,Olympians,Hydra,"For every 2 damage this takes, place a Loyal Follower in a different Lane.",,,Brendan Head,17-7
2,2,2,Olympians,Prophecy,Attacks any Lane other than its own.,,,Brendan Head,17-8
2,3,2,Olympians,Confused Valhallan,<strong><strong>On Death:</strong></strong> Place a Loyal Follower in this Lane.,,,Brendan Head,17-9
2,0,0,Olympians,Summon of the Gods,{action:Action}<br> Deal 1 Attack damage in this Lane and place a Loyal Follower in this Lane.,Action,,Brendan Head,17-10
2,3,1,Olympians,Holy Smite,<strong><strong>On Recruit:</strong></strong> Attacks this turn.,,,Brendan Head,17-11
1,1,4,Olympians,Shield of Syracuse,"{attacksLast:{attacksLast:Attacks Last.}<br>}<br> When this unit would take damage, you may instead damage any other friendly unit in any Lane.",,,Brendan Head,17-12
2,2,3,Olympians,Pegasus,"<strong><strong>End of Turn:</strong></strong> May move this to a different Lane. If you do, you must also move another friendly unit with it if possible.",,,Brendan Head,17-13
6,0,2,Plant Druids,Sapling,,,Starting,Brendan Head,18-1
2,0,0,Plant Druids,Infinite Beanstalk,"<strong>On Recruit:</strong> Gains two +1/+1 counters.<br><strong>End of Turn:</strong> If this took damage this turn, it gains two +1/+1 counters. ",,,Brendan Head,18-2
2,0,0,Plant Druids,Seed Spreader,<strong>On Recruit:</strong> Gains three +1/+1 counters.<br><strong>End of Turn:</strong> May sacrifice a +1/+1 counter to place a Sapling in a different Lane.,,,Brendan Head,18-3
1,0,5,Plant Druids,The Great Tree of Armollo,"<strong>End of Turn:</strong> Place a Sapling into this Lane. Then all Saplings in this Lane take 1 damage. If there are now 4 or more Saplings in this Lane, you immediately win the Battle.",,,Brendan Head,18-4
1,1,3,Plant Druids,Light Lilly,<strong>On Death:</strong> Gain 2 HP,,,Brendan Head,18-5
2,1,3,Plant Druids,Mega Tree,This has +1 Attack Power for every Sapling in this Lane.,,,Brendan Head,18-6
2,1,3,Plant Druids,Plant,<strong>On Recruit:</strong> Place a Sapling in a different Lane.,,,Brendan Head,18-7
2,1,1,Plant Druids,Thorns,{attacksFirst:Attacks First.}<br> This has +1 Attack Power for every enemy unit in this Lane beyond the first. ,,,Brendan Head,18-8
2,2,2,Plant Druids,Floating Seeds,<strong>Start of Combat:</strong> May move this to a different Lane.,,,Brendan Head,18-9
2,2,2,Plant Druids,Regrowth,<strong>On Death:</strong> Put this card back into your hand.,,,Brendan Head,18-10
2,3,1,Plant Druids,From the Ashes,<strong>On Death:</strong> Place a Sapling in any Lane.,,,Brendan Head,18-11
6,0,2,Dwarves,Mini Dwarf,,,Starting,Brendan Head,19-1
1,0,1,Dwarves,Bribery Dwarf,<strong>On Recruit:</strong> Choose an enemy unit in this Lane (cannot be a unit that was recruited this turn). Switch it to your side of the Lane. It is now a friendly unit.,,,Brendan Head,19-2
1,0,0,Dwarves,Dwarf Dragon,"{action:Action}<br> Deal 2 damage to every Lane. Opponent can choose to negate any of this damage. For every point of damage they choose to negate, gain a +1/+1 counter in your Hoard.",Action,,Brendan Head,19-3
2,1,3,Dwarves,Big Dwarf,"<strong>On Recruit:</strong> Place a Mini Dwarf in any Lane. <br><strong>End of Turn:</strong> May sacrifice a Mini Dwarf in any Lane to gain two +1/+1 counters. Put as many as you want on this, the rest go into your Hoard. ",,,Brendan Head,19-4
1,1,3,Dwarves,"Chief Grumlo, King of the Dwarves",<strong>On Recruit:</strong> Put a +1/1 counter on any unit (can be this one).<br><strong>End of Turn:</strong> Add a +1/+1 counter to your Hoard.,,,Brendan Head,19-5
2,1,3,Dwarves,Hoarder Dwarf,<strong>On Recruit:</strong> Add two +1/+1 counters to your Hoard.,,,Brendan Head,19-6
2,1,0,Dwarves,Sacrificial Dwarf,"<strong>On Recruit:</strong> Gains two +1/+1 counters  When you remove +1/+1 counters from this unit, put them in your Hoard.",,,Brendan Head,19-7
2,2,3,Dwarves,Dwarf Cleric,<strong>On Recruit:</strong> Add a +1/+1 counter to your Hoard. Heal either 1 HP or 1 damage token on any unit.,,,Brendan Head,19-8
2,2,3,Dwarves,Dwarf Gunner,"{attacksLast:Attacks Last.}<br> When this attacks it does 1 damage to a different Lane. If the number of counters in your Hoard is odd, the Left lane. If even, the right Lane.<br><strong>On Recruit:</strong> Deal 1 damage in this Lane.",,,Brendan Head,19-9
2,2,2,Dwarves,Dwarf Strongman,<strong>End of Turn:</strong> Remove 1 damage token on this and place a +1/+1 counter in your Hoard. <br> <strong>On Death:</strong> Add a +1/+1 counter to your Hoard,,,Brendan Head,19-10
3,3,1,Dwarves,Raging Dwarf,{attacksFirst:Attacks First.}<br>,,,Brendan Head,19-11
6,0,2,Hackers,Firewall,,,Starting,Brendan Head,20-1
1,0,0,Hackers,Botnet,{action:Action}<br> Deal damage in every Lane equal to the number of friendly units in that Lane.,Action,,Brendan Head,20-2
1,0,1,Hackers,Brute Force Attack,<strong>On Recruit:</strong> Choose a unit in this Lane (can be friendly or enemy). That unit immediately dies.,,,Brendan Head,20-3
2,0,3,Hackers,Virus,<strong>On Death:</strong> Opponent loses 1 HP.,,,Brendan Head,20-4
2,1,2,Hackers,Damage Hack,<strong>On Recruit:</strong> Deal 1 damage to any enemy unit in this Lane. You may then move up to 2 damage tokens on enemy units in this Lane to any other enemy units in any Lane (treat moving a damage token onto a unit as though that unit took 1 damage).,,,Brendan Head,20-5
2,1,1,Hackers,Network Surfing,"{attacksLast:Attacks Last.}<br> <strong>End of Turn:</strong> May move this to a different Lane. If you do, it gains a +1/+1 counter.",,,Brendan Head,20-6
1,1,3,Hackers,Redirect,<strong>End of Turn:</strong> Move a +1/+1 counter from any enemy unit to any friendly unit.,,,Brendan Head,20-7
1,1,1,Hackers,Reversing Algorithm,"<strong>On Recruit:</strong> For both players, only the Lane they played a card into attacks this turn.",,,Brendan Head,20-8
1,1,3,Hackers,Spoofing Repeater,"<strong>On Recruit:</strong> This may have the ""On Recruit"" effect of any enemy unit. ",,,Brendan Head,20-9
1,1,2,Hackers,System Bootup,{attacksFirst:Attacks First.}<br> Attacks any Lane.<br><strong>On Recruit:</strong> Attacks this turn.,,,Brendan Head,20-10
1,1,2,Hackers,Terminal,{attacksLast:Attacks Last.}<br> <strong>On Recruit:</strong> Gains two +1/+1 counters.,,,Brendan Head,20-11
1,2,1,Hackers,Denial of Service,{attacksFirst:Attacks First.}<br> <strong>On Recruit:</strong> Opponent does not draw a card at the start of the next turn.,,,Brendan Head,20-12
2,2,2,Hackers,Loop Repeater,"<strong>On Recruit:</strong> This may have the ""On Recruit"" effect of any other friendly unit. ",,,Brendan Head,20-13
1,2,2,Hackers,Spyware,<strong>On Recruit:</strong> Look at the top 3 cards of your deck. Rearrange them into any order.,,,Brendan Head,20-14
1,4,3,Hackers,Neo,<strong>On Recruit:</strong> Lose 2 HP.<br><strong>End of Turn:</strong> Lose 1 HP.,,,Brendan Head,20-15
6,0,2,Caper Crew,Crew Member,,,Starting,Brendan Head,21-1
1,0,0,Caper Crew,The Armourer,{attacksLast:Attacks Last.}<br> <strong>On Recruit:</strong> Gains a +1/+1 counter.<br><strong>End of Turn:</strong> Place a +1/+1 counter on this. ,,,Brendan Head,21-2
1,0,5,Caper Crew,The Godfather,<strong>On Recruit:</strong> Heal 1 damage token on any unit in any Lane ,,,Brendan Head,21-3
1,0,1,Caper Crew,The Inside Man,"<strong>On Recruit:</strong> Swap this to the enemy side of this Lane, it is now an enemy unit.<br><br>Whenever this Lane attacks, this does 3 damage to its owner in that Lane as a normal Attack.",,,Brendan Head,21-4
1,0,1,Caper Crew,The Locksmith,<strong>On Recruit:</strong> Gains up to three +1/+1 counters. You may choose to not gain any number of them to deal 1 damage to any Lane for each counter you choose not to gain.,,,Brendan Head,21-5
1,0,2,Caper Crew,The Master of Disguise,<strong>End of Turn:</strong> You may replace this with the top card from your deck. Move all +1/+1 counters on this to the new card and then put two more +1/+1 counters on it.,,,Brendan Head,21-6
1,1,3,Caper Crew,The Con Man,<strong>On Recruit:</strong> Choose a Lane. No enemy units in that Lane attack this turn. ,,,Brendan Head,21-7
1,1,1,Caper Crew,The Mafioso,<strong>End of Turn:</strong> May sacrifice any friendly unit in this Lane to place two +1/+1 counters on this. ,,,Brendan Head,21-8
1,1,2,Caper Crew,The Money Launderer,"<strong>On Recruit:</strong> Gains a +1/+1 counter.<br><strong>End of Turn:</strong> May remove a +1/+1 counter from any friendly unit. If you do, place two +1/+1 counters on a different friendly unit. ",,,Brendan Head,21-9
1,1,2,Caper Crew,The Recon,<strong>On Recruit:</strong> Look at your opponent's hand.,,,Brendan Head,21-10
1,1,1,Caper Crew,The Thief,<strong>On Recruit:</strong> Move up to two +1/+1 counters from any enemy units to any friendly units,,,Brendan Head,21-11
1,2,2,Caper Crew,The Demolitions Expert,<strong>On Death:</strong> Deal 1 damage to all Lanes,,,Brendan Head,21-12
1,2,1,Caper Crew,The Mastermind,Attacks any Lane,,,Brendan Head,21-13
1,2,2,Caper Crew,The Techie,"While this unit is in play, whenever a Crew Member dies your opponent takes 1 damage in the Lane it died in.<br><br><strong>On Recruit:</strong> Place a Crew Member in any Lane. ",,,Brendan Head,21-14
1,3,3,Caper Crew,The Bruiser,{attacksLast:Attacks Last.}<br> ,,,Brendan Head,21-15
1,3,1,Caper Crew,The Driver,<strong>On Recruit:</strong> May move one friendly unit (can be this one) from any Lane to any other Lane.,,,Brendan Head,21-16
1,3,1,Caper Crew,The Pickpocket,{attacksFirst:Attacks First.}<br>,,,Brendan Head,21-17
1,3,1,Caper Crew,The Rookie,Only Attacks if there are other friendly units in this Lane.<br><strong>On Recruit:</strong> Attacks this turn if there are other friendly units in this Lane.,,,Brendan Head,21-18
1,5,1,Caper Crew,"The ""One Last Job""","<strong>End of Turn:</strong> If this Attacked this turn, it dies.",,,Brendan Head,21-19
6,0,2,Aliens,Alien Grunt,,,Starting,Brendan Head,22-1
1,0,0,Aliens,Overshield,{action:Action}<br> Deal 1 damage in this Lane. Negate the first point of incoming damage in every Lane this turn.<br><strong>End of Turn:</strong> Add a +1/+1 counter to your Energy Supply,Action,,Brendan Head,22-2
1,0,5,Aliens,Planet Destroyer,<strong>End of Turn:</strong> May spend five +1/+1 counters from your Energy Supply to deal 3 damage to all Lanes and place two +1/+1 counters on this.,,,Brendan Head,22-3
1,0,0,Aliens,Alien Swarm,{action:Action}<br> Gain three Alien Grunt units. Put them in any Lanes. Add two +1/+1 counters to your Energy Supply. ,Action,,Brendan Head,22-4
1,1,4,Aliens,Mothership,<strong>End of Turn:</strong> Add a +1/+1 counter to your Energy Supply.,,,Brendan Head,22-5
1,1,1,Aliens,Power Siphon,<strong>On Recruit:</strong> Gains a +1/+1 counter. Then place may any number of +1/+1 counters from your Energy Supply on this.,,,Brendan Head,22-6
1,1,0,Aliens,Probe,{action:Action}<br> Gain an extra +1/+1 counter to your Supply this turn when enemy units die.,Action,,Brendan Head,22-7
2,1,3,Aliens,Supercharger,"While this unit is in play, enemy units in this Lane provide 2 Energy when killed instead of 1.",,,Brendan Head,22-8
2,2,2,Aliens,Alien Trooper,<strong>On Recruit:</strong> Deal 1 damage to this Lane.,,,Brendan Head,22-9
2,2,2,Aliens,Death Beam,Attacks any Lane.,,,Brendan Head,22-10
2,2,2,Aliens,Martian Man,<strong>On Recruit:</strong> Add a +1/+1 counter to your Energy Supply.,,,Brendan Head,22-11
2,2,1,Aliens,UFO,{attacksFirst:Attacks First.}<br> <strong>End of Turn:</strong> May move this to any Lane.,,,Brendan Head,22-12
2,3,2,Aliens,Space Cannon,{attacksLast:Attacks Last.}<br>,,,Brendan Head,22-13
6,0,1,Chess,Pawn,,,Starting,Brendan Head,23-1
1,0,0,Chess,Blitz,"{action:Action}<br> Deal 1 damage in this Lane. Gain 4 Pawn units, put them in any Lanes in any combination.",,,Brendan Head,23-2
1,0,3,Chess,Gold General,"You may add damage tokens to this instead of removing +1/+1 counters when it takes damage.<br><strong>On Recruit:</strong> Gains a +1/+1 counter.<br><strong>End of Turn:</strong> If this did not Attack this turn, it gains a +1/+1 counter.",,,Brendan Head,23-3
1,0,0,Chess,Promotion,{action:Action}<br> Place a Pawn with three +1/+1 counters on it in this Lane.,Action,,Brendan Head,23-4
2,1,3,Chess,Elephant,{attacksFirst:Attacks First.}<br> Attacks any Lane except its own.,,,Brendan Head,23-5
1,1,2,Chess,En Passant,"<strong>On Recruit:</strong> Place a Pawn in this Lane. You may move any number of Pawns from this Lane to different Lanes. If you do, they gain one +1/+1 counter each.",,,Brendan Head,23-6
1,1,4,Chess,"King, Chess Piece",<strong>On Death:</strong> Destroy all enemy units in this Lane.,,,Brendan Head,23-7
1,1,3,Chess,Silver General,"<strong>End of Turn:</strong> If this has a +1/+1 counter on it, remove it and put two Pawns with +1/+1 counters on them in this Lane.<br>Otherwise if this doesn't have a +1/+1 counter on it, it gains one. ",,,Brendan Head,23-8
1,2,1,Chess,Atomic,<strong>On Recruit:</strong> This Lane attacks this Turn. Opponent must damage their regular units before their basic starting units in all Lanes this turn.,,,Brendan Head,23-9
2,2,2,Chess,Bishop,Attacks any Lane except its own.,,,Brendan Head,23-10
1,2,0,Chess,Castle,{action:Action}<br> Attacks this turn. Move any number of units (friendly or enemy) from this Lane to different Lanes.,Action,,Brendan Head,23-11
1,2,2,Chess,Grandmaster,<strong>End of Turn:</strong> Place a Pawn in this Lane. Heal 1 damage on any unit in this Lane.,,,Brendan Head,23-12
2,3,1,Chess,"Knight, Chess Piece",<strong>On Recruit:</strong> May move this to a different Lane.<br><strong>End of Turn:</strong> May move this to a different Lane.,,,Brendan Head,23-13
2,3,2,Chess,Rook,{attacksLast:Attacks Last.}<br>,,,Brendan Head,23-14
1,4,2,Chess,"Queen, Chess Piece",Attacks any Lane. You must damage the Queen before any other units in this Lane.,,,Brendan Head,23-15
6,0,2,Time Travellers,Time Shield,,,Starting,Brendan Head,24-1
2,0,1,Time Travellers,Relativity Device,{attacksFirst:Attacks First.}<br> <strong>On Recruit:</strong> Gains two +1/+1 counters.,,,Brendan Head,24-2
2,1,3,Time Travellers,Chronological Leakage,<strong>End of Turn:</strong> This Lane gains a time counter if it does not have one,,,Brendan Head,24-3
2,1,2,Time Travellers,DeLorean,Attacks all Lanes that had time counters on them at the Start of this Turn,,,Brendan Head,24-4
2,1,1,Time Travellers,Timeline Slip,<strong>On Recruit:</strong> Choose a unit in each Lane which has time counters on it to gain a +1/+1 counter.,,,Brendan Head,24-5
2,1,3,Time Travellers,Wormhole,"<strong>Start of Turn:</strong> If this Lane has a time counter, enemy takes 1 damage in this Lane.",,,Brendan Head,24-6
2,2,2,Time Travellers,Parallel Universe Breach,<strong>On Recruit:</strong> Choose a different Lane. It gains a time counter,,,Brendan Head,24-7
1,2,0,Time Travellers,Singularity,{action:Action}<br> Move all time counters to this Lane. This Lane attacks as many times as it has time counters.,Action,,Brendan Head,24-8
2,2,2,Time Travellers,Time Machine,<strong>On Recruit:</strong> This Lane gains a time counter.,,,Brendan Head,24-9
2,2,2,Time Travellers,World Line Shift,<strong>End of Turn:</strong> May move up to 1 time counter to a different Lane.,,,Brendan Head,24-10
1,4,1,Time Travellers,Quantum Event,<strong>End of Turn:</strong> Lose a time counter from any Lane.,,,Brendan Head,24-11
6,0,1,Bees,Worker Bee,,,Starting,Brendan Head,25-1
1,0,0,Bees,Harvest,<strong>On Recruit:</strong> Gains three +1/+1 counters.<br><br><strong>End of Turn:</strong> May remove a +1/+1 counter to deal 1 damage to any unit in this Lane.,,,Brendan Head,25-2
1,0,0,Bees,Sting,{action:Action}<br> Deal 1 damage to every enemy unit in all Lanes.,Action,,Brendan Head,25-3
1,0,2,Bees,Wax,<strong>On Recruit:</strong> Choose an enemy Lane that would attack this turn. No enemy units in that Lane attack this turn.,,,Brendan Head,25-4
1,1,0,Bees,Bumble,{action:Action}<br> Put a +1/+1 counter on any friendly unit in this Lane. This Lane attacks this turn.,Action,,Brendan Head,25-5
1,1,2,Bees,Colony,{attacksFirst:Attacks First.}<br> <strong>On Recruit:</strong> Choose a different unit in this Lane. That unit attacks this turn.,,,Brendan Head,25-6
1,1,1,Bees,Crystallization,<strong>On Recruit:</strong> Choose up to two enemy units in any Lanes. They take 1 damage each.,,,Brendan Head,25-7
1,1,2,Bees,Drone,<strong>On Recruit:</strong> Choose a Lane. All Bees in that Lane Attack First this turn.,,,Brendan Head,25-8
1,1,4,Bees,Hive,"<strong>On Recruit:</strong> Place a Worker Bee in this Lane.<br><br><strong>End of Turn:</strong> If this took damage this turn, place a Worker Bee in this Lane.<br><strong>On Death:</strong> Place a Worker Bee in this Lane.",,,Brendan Head,25-9
1,1,2,Bees,Nectar,<strong>End of Turn:</strong> Put a +1/+1 counter on any Worker Bee.,,,Brendan Head,25-10
1,1,1,Bees,Pollinate,<strong>On Recruit:</strong> Take two +1/+1 counters. Put them on any friendly units in this Lane.,,,Brendan Head,25-11
1,1,1,Bees,Smoker,Attacks First into both other Lanes. Attacks normally in this Lane.,,,Brendan Head,25-12
1,2,2,Bees,Buzz,<strong>End of Turn:</strong> May move a Worker Bee from any Lane to a different Lane,,,Brendan Head,25-13
1,2,1,Bees,Flower,<strong>On Recruit:</strong> Place 2 Worker Bees in this Lane.,,,Brendan Head,25-14
1,2,2,Bees,Honey,"<strong>End of Turn:</strong> You may choose an enemy unit in this Lane. If you do, neither this nor the enemy unit will attack next turn.",,,Brendan Head,25-15
1,2,1,Bees,Bee Swarm,<strong>On Recruit:</strong> All Worker Bees in all Lanes attack this turn and gain +1 Attack Power for this turn.,,,Brendan Head,25-16
1,2,2,Bees,"Wasp, Bee Warrior",<strong>On Recruit:</strong> All Worker Bees in this Lane gain a +1/+1 counter.,,,Brendan Head,25-17
1,3,1,Bees,Bee Larvae,<strong>On Death:</strong> Place a Worker Bee in any Lane.,,,Brendan Head,25-18
1,3,2,Bees,Queen Bee,,,,Brendan Head,25-19
6,0,2,Space Marines,Conscript,,,Starting,Brendan Head,26-1
2,0,1,Space Marines,Space Apostle,<strong>On Recruit:</strong> Gains three +1/+1 counters and another unit in this Lane gains a +1/+1 counter.,,,Brendan Head,26-2
1,0,12,Space Marines,Transport Ship,"<strong><strong>Start of Game:</strong></strong> This starts in one Lane with 9 damage tokens on it.<br><strong>End of Turn:</strong> Remove 2 damage tokens from this. If this now has no damage tokens on it, you immediately win the Battle.",,,Brendan Head,26-3
2,1,0,Space Marines,Dreadnought Mech,"<strong>On Recruit:</strong> Gains two +1/+1 counters.<br><strong>Start of Combat:</strong> If this is attacking this turn, remove a +1/+1 counter.<br><strong>End of Turn:</strong> Gains a +1/+1 counter.",,,Brendan Head,26-4
1,1,4,Space Marines,God Emperor,<strong>On Recruit:</strong> Heal 1 damage on the Transport Ship,,,Brendan Head,26-5
2,1,2,Space Marines,Iron Legion,"<strong>End of Turn:</strong> You may deal 1 damage to any other friendly unit. If you do, put a +1/+1 counter on this.",,,Brendan Head,26-6
1,1,6,Space Marines,Protection,,,,Brendan Head,26-7
2,2,2,Space Marines,Bladesworn,{attacksFirst:Attacks First.}<br>,,,Brendan Head,26-8
1,2,1,Space Marines,Tactical Commando,<strong>On Recruit:</strong> Attacks this turn.,,,Brendan Head,26-9
1,2,0,Space Marines,Prescience,{action:Action}<br> This Attacks this turn. Move up to 2 enemy units into different Lanes.,Action,,Brendan Head,26-10
2,2,1,Space Marines,Scope,Attacks any Lane except this Lane. ,,,Brendan Head,26-11
2,2,1,Space Marines,Suppresive Fire,<strong>On Recruit:</strong> This Lane attacks this turn. Enemy units in this Lane do not attack this turn.,,,Brendan Head,26-12
2,3,2,Space Marines,Ultramarine,,,,Brendan Head,26-13
6,0,3,Zilla,Scales,,,Starting,Brendan Head,27-1
2,1,3,Zilla,Bellyflop,<strong>On Recruit:</strong> Deal 1 damage to both other Lanes.,,,Brendan Head,27-2
1,1,4,Zilla,Deep Sleep,<strong>End of Turn:</strong> Heal 1 HP,,,Brendan Head,27-3
2,1,2,Zilla,Roar,<strong>On Recruit:</strong> All units in this Lane (including this one) gain +1/+1 counters.,,,Brendan Head,27-4
2,1,3,Zilla,Stamina Boost,<strong>On Recruit:</strong> Heal 2 HP.,,,Brendan Head,27-5
2,1,3,Zilla,Tail Swipe,Attacks all Lanes.,,,Brendan Head,27-6
2,1,6,Zilla,Thick Skin,,,,Brendan Head,27-7
2,2,2,Zilla,Plasma Breath,{attacksFirst:Attacks First.}<br> ,,,Brendan Head,27-8
2,3,1,Zilla,Bite,<strong>On Death:</strong> Heal 1 HP.,,,Brendan Head,27-9
2,3,2,Zilla,Claw Attack,,,,Brendan Head,27-10
2,3,1,Zilla,Mega Vision,Attacks any Lane.,,,Brendan Head,27-11
1,4,1,Zilla,Atomic Blast,,,,Brendan Head,27-12
6,0,2,Magmamons,Igneous Rock,,,Starting,Brendan Head,28-1
2,0,5,Magmamons,Heat Resistance,"Whenever you would take damage in any Lane, you may take any amount of the damage on this unit instead.<br><strong>End of Turn:</strong> Remove 1 damage token on this to place a +1/+1 token on any unit in this Lane.",,,Brendan Head,28-2
1,0,8,Magmamons,Mega Volcano,"<strong>End of Turn:</strong> Both players take 1 damage per Lava counter in the Lane the counters are in. Then move all Lava counters to the Lane to the right. If they are now in this Lane, add another Lava Counter.<br>If this unit dies, remove all Lava counters.",,,Brendan Head,28-3
2,1,5,Magmamons,Healing Rocks,<strong>End of Turn:</strong> Heals 1 damage on itself.,,,Brendan Head,28-4
2,1,2,Magmamons,Lava Spread,Attacks First into the Lane you played a card into.<br>Attacks normally into every other Lane.,,,Brendan Head,28-5
2,2,3,Magmamons,Lava Shield,<strong>On Recruit:</strong> This Lane takes no damage from Lava this turn.,,,Brendan Head,28-6
2,2,2,Magmamons,Thermal Rise,<strong>On Recruit:</strong> Gain +1/+1 tokens equal to the number of Lava counters. Put them on units in the Lane with the Lava counters in any combination.,,,Brendan Head,28-7
2,2,3,Magmamons,Untargeted Meteors,Attacks both Lanes you didn't play a card into this turn.,,,Brendan Head,28-8
2,3,1,Magmamons,Magma Meteor,Attacks the same Lane as the Lava tokens are currently in.,,,Brendan Head,28-9
2,3,1,Magmamons,Targeted Meteor,Attacks the Lane you played a card into this turn.,,,Brendan Head,28-10
1,4,1,Magmamons,Flame Sword,,,,Brendan Head,28-11
6,0,2,Mathematicians,Integer,,,Starting,Brendan Head,29-1
1,0,0,Mathematicians,Divide by Zero,{action:Action}<br> Every unit in this Lane dies (both friendly and enemy). ,Action,,Brendan Head,29-2
1,0,1,Mathematicians,Fibonnaci,<strong>On Recruit:</strong> You may sacrifice exactly two other friendly units from any Lanes to move all their +1/+1 counters onto this and +1/+1 counters equal to their Attack Power onto this.,,,Brendan Head,29-3
1,0,4,Mathematicians,Margin,This unit has Attack Power equal to the difference between the number of damage tokens on it and its Defence.<br><strong>On Recruit:</strong> This unit takes 3 damage.<br><strong>End of Turn:</strong> This unit heals 1 damage token on it.,,,Brendan Head,29-4
